AVzAZOUlmhia5XS5OxXx	I ' m at Yuri Restaurante in Sao Paulo , São Paulo https://t.co/4SegFrx4IU 	 Nao
AVzAZUSImhia5XS5O3YJ	Neste momento , reunião com o Prefeito Regional do Butantã , em São Paulo , no escritório de A Igreja de Jesus ... https://t.co/r8YyKvFAyg 	 Nao
AVzAZUg5mhia5XS5O3oH	Marketing / Relações públicas em São Paulo / SP : – São Paulo – SP  Coordenar as atualizações do … https://t.co/EKM8xW682S 	 Nao
AVzAZcbkmhia5XS5PAde	Corinthians e Internacional Sao Paulo e Cruzeiro #COPADOBRASIL 	 Sim
AVzAZehnmhia5XS5PDPD	hoje eu to tao merda quanto carnaval em são paulo 	 Nao
AVzAZ92Tmhia5XS5Pnmk	@CrvgJV Vasco x Flamengo é maior 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 não é nem maior que Santos x São Paulo 	 Sim
AVzAYWZKmhia5XS5NySv	VAMOS SÃO PAULO ! ! ! 	 Sim
AVzAYPLFmhia5XS5NqHo	✌ ✌ @ São Paulo , Brazil https://t.co/lxPS5EU9pg 	 Nao
AVzAZT2Gmhia5XS5O3Kf	I ' m at Unisa - Universidade de Santo Amaro - Campus II - @unisantoamaro in São Paulo , SP https://t.co/5OgeNSwCYb 	 Nao
AVzAZa-Hmhia5XS5O-2J	I ' m at Jardim Tarraf II in São José do Rio Preto , São Paulo https://t.co/h0gUqRpbC2 	 Nao
AVzAZElImhia5XS5Onds	@felipenabinger @GuaibaEsportes o lateral que veio do São Paulo ? 	 Sim
AVzAZnsPmhia5XS5PNpJ	Luiza mesmo morando em São Paulo algum tempo nunca esquece meu niver 💓 💓 tem amizade que a gente leva pra vida 	 Nao
AVzAZfoRmhia5XS5PExP	#CopaDoBrasilFOXSports Rogério Ceni vai ficar pelomenos 1 ano no São Paulo .. Ganhando ou perdendo 	 Sim
AVzAaSQUmhia5XS5P_E1	Special #me #selfie #happy #love #friday #weekend #freedom #girl @ São Paulo , Brazil https://t.co/NQ23SUFZSo 	 Nao
AVzAYSlcmhia5XS5Numj	Com base na forma tática que o Palmeiras entrou contra o São Paulo montei esse time . Quem sabe o time não entre ... https://t.co/C932kut7Dk 	 Sim
AVzAaYdImhia5XS5QFht	@pedro_reporter @narradorjulio O Tite foi demitido do Corinthians em Fev / 2015 após uma derrota de 1x0 para o São Paulo 	 Sim
AVzAYw00mhia5XS5ORK5	New anamorphic Street Art by Boa Mistura 📍 São Paulo Brazil 🇧 🇷 #streetart #art #arte #3D https://t.co/gaGfjHBCYt 	 Nao
AVzAYZE5mhia5XS5N14r	Tchau São Paulo 😢 😢 Veeeem Florianópolis SC .... 😔 😖 😓 Quero agradecer a todos que fizeram parte da minha vida mas ... https://t.co/iLfcIQ5PYD 	 Nao
AVzAYKYTmhia5XS5NkPC	quarta ja volto pra são paulo mas tô aproveitando cada minutinho 	 Nao
AVzAaPUemhia5XS5P7Q9	I ' m at Varejão do Cecap in Guarulhos , São Paulo https://t.co/kHFI7p7OQM 	 Nao
AVzAYQGPmhia5XS5Nrat	I ' m at Bio Ritmo in São Paulo , SP https://t.co/DL9iulBqit 	 Nao
AVzAZx_lmhia5XS5PZdu	Perdi uma aula de marketing só pra assistir o jogo do São Paulo , hoje a aula parecia ser daora 	 Sim
AVzAZGUHmhia5XS5Opxw	I ' m at NM Embalagens in são paulo , sp https://t.co/tSfbMcVmsO 	 Nao
AVzAZAHHmhia5XS5Oh9W	@GaloNews_ o goleiro do micróbio verde e uma boa opção , giovani e um reserva e ponto . Olha como o São Paulo está sofrendo 	 Sim
AVzAZ9W1mhia5XS5Pm_D	Camisa Barcelona Home 2015 Nº11 Neymar R 99,90 - Esportes e ginástica - Jardim Bela Vista , São Paulo | OLX https://t.co/pthP8bLgCU 	 Nao
AVzAZKjTmhia5XS5OthR	Palmeiras x São Paulo marca duelo dos principais astros do ... - UOL https://t.co/mXEOZDjuaK 	 Sim
AVzAZPAzmhia5XS5OyRl	I ' m at @StarbucksBrasil in São Paulo w / @lipyruibal @aldarique @adam_araujo @anikaureliano https://t.co/WjXdiahq4y 	 Nao
AVzAaKimmhia5XS5P2nt	Aquela vontade de comer coisa boa e beber líchia 💚 ( @ Pé de Manga in São Paulo , SP ) https://t.co/sH6i9wG4gG 	 Nao
AVzAZo02mhia5XS5PPEC	@CentralDeFasLS posso chamar minha amiga que mora em Paraná ou só quem mora em São Paulo ? 	 Nao
AVzAYOJWmhia5XS5NoxX	O Pratto quando jogava no Galo era só mais um argentino , agora no São Paulo virou Messi.Quanta hipocrisia 😜 😜 😜 😜 😜 😜 😜 😜 😜 😜 ... 	 Sim
